For events definition screenshots ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Event Name,Description,"Sample button
/URL",Property Name,isMandated,Property Value Type,Property Description,Suggested values (Red colored values are fixed allowed values),Standardisation,DBS/POSB SG PL Full API,SCB SG CC Full API,SCB SG PL Full API,OCBC Bot Service,CI FWD ,CI Etiqa,CI Wizard,Home Loan - TDSR Calculator,Home Loan - Property Tax Calculator,Home Loan - Stamp Duty Calculator,Home Loan - Refinance Calculator,Home Loan - MSR Calculator,Home Loan - Mortgage Calculator,Home Loan - Progressive Payment Calculator,Home Loan - Property Valuation Calculator,Home Loan HK - Mortgage Calculator,Home Loan HK - Property Valuation Calculator,Mortgage Home Page,New Purchase Home Page,Refinance Home Page,"New Listing Service
HK TI",Product Widgets
,,,,product,TRUE,string,"Unique ID of the product. Optional, only applicable to forms for single products",,,,,,,xxx,xxx,,,,,,,,,,,,,,,,
,,,,provider,TRUE,string,"Id of the product provider. Optional, only applies to forms for single products",,,,,,,xxx,xxx,,,,,,,,,,,,,,,,
,,,,status,FALSE,string,It would indicate whether the payment was succesful or not,"success, fail",,,,,,"success, fail","success, fail",,,,,,,,,,,,,,,,
5,LeadGeneration.ThankYou,Tracks when a user is shown a Thank you page,,channel,TRUE,string,Product channel,"home-loan,refinancing,home-equity-loan,renovation-loan,
education-loan,car-loan,debt-consolidation-loan,personal-loan,
car-insurance,home-insurance,mortgage-insurance,travel-insurance,
life-insurance,personal-accident-insurance,health-insurance,
maid-insurance,international-health,fixed-deposit,savings-account,
credit-cards,tax-loan,lending-companies-loan,debt-consolidation-plan,banks-loan,blog",,personal-loan,credit-cards,personal-loan,,,,,,,,,,,,,,,,,,N/A,
,,,,pageType,TRUE,string,Type of page user landed,"home-page,product-listing,product-details,blog-home-page, 
blog-category-listing, blog-article-details, form-page, login-page,
redirect-page, widgets, thank-you, interstitial-page",,,,,,,,,,,,,,,,,,,,,,,
,,,,language,TRUE,string,Locale of the page,"en,zh-hk",,"personal-loan-application, ","credit-card-application, ","personal-loan-application, ",,,,,,,,,,,,,,,,,,,
,,,,country,TRUE,string,which market this events happened,"sg,hk,tw,ph,id",,id,id,id,,,,,,,,,,,,,,,,,,,
6,LeadGeneration.RedirectCompleted,"Tracks when visitors click on Apply now, they are 
sent to the interstitial page, and  are successfully 
redirected to the provider’s website.",SAME AS LeadGeneration.ClickConversion,,,,,,Application process,,,,,,,,,,,,,,,,,,,,,"Yes, interstitial page",Check above
7,UserEngagement.ShowedMoreDetails,Tracks the click events on the slider that reveals more summary details about the product ,More Details,channel,TRUE,string,Product channel,"home-loan,refinancing,home-equity-loan,renovation-loan,
education-loan,car-loan,debt-consolidation-loan,personal-loan,
car-insurance,home-insurance,mortgage-insurance,travel-insurance,
life-insurance,personal-accident-insurance,health-insurance,
maid-insurance,international-health,fixed-deposit,savings-account,
credit-cards,tax-loan,lending-companies-loan,debt-consolidation-plan,banks-loan,blog",,,,,,,,,,,,,,,,,,,,,,"N/A
Current card does not have more details for TI",N.A
,,,,pageType,TRUE,string,Type of page user landed,"home-page,product-listing,product-details,blog-home-page, 
blog-category-listing, blog-article-details, form-page, login-page,
redirect-page, widgets, thank-you, interstitial-page,lps",,,,,,,,,,,,,,,,,,,,,,,
,,,,language,TRUE,string,Locale of the page,"en,zh-hk",,,,,,,,,,,,,,,,,,,,,,,N.A
,,,,country,TRUE,string,which market this events happened,"sg,hk,tw,ph,id",,,,,,,,,,,,,,,,,,,,,,,N.A
,,,,product,TRUE,string,Slug of product,citi-premiermiles-card,,,,,,,,,,,,,,,,,,,,,,,
,,,,productCategory,TRUE,string,Unique Identifier/slug of the product category,best-credit-cards,,,,,,,,,,,,,,,,,,,,,,,N.A
